project,OR,pvalue,OR,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,OR,pvalue,pearsonr,pvalue,spearmanr,pvalue,OR,pvalue
pandas,0.6569059901838529,0.002690842640237984,1.4237343481721916,0.010007118897005701,-0.2516087694159433,4.171491564801181e-28,-0.42816379225624335,2.3430148661938487e-83,0.036776953031668794,0.4421154690766952,0.057631395212828236,0.22817594979219954,0.09038266373709701,0.8038951372002787,0.2948461935371877,0.408230344858702,0.0,9.495596505314966e-221,0.08520784975077511,0.8149552212338362,0.056393930417406576,0.8770298534100831,0.7892104766309197,2.2946264098534547e-06
XX-Net,1.081887858007261,0.8709372335047939,0.7342657342657343,0.44627848542538506,-0.669443756144862,0.0023756591045575102,-0.7198699818618937,0.0007557743998999203,0.16860949688973165,0.07422572679325182,-0.05034203528511554,0.5964384976753019,0.19407297784153787,0.2429990892204614,0.09156067176633137,0.5845752079234969,0.9073579870377431,0.8726326854193572,0.17003129238455406,0.3074508026990666,0.012745133048803479,0.9394630543152548,nan,1.0
scikit-learn,0.8001290392325597,0.009407923554666037,0.8783098578652547,0.093008678042587,-0.1211299873270806,1.3384376471279227e-08,-0.3898132747908997,2.979090785191192e-80,0.17304521525902616,2.1512414624601492e-11,-0.07959551777891244,0.002204049102349374,0.35780545775258954,0.04091175018225331,-0.00414583235250932,0.9817318403437283,0.0,1.502225784391196e-147,-0.13532936161316195,0.4527146608471345,-0.27687204831616874,0.11879464305786276,0.9225764213600686,0.04231627153438928
auto-sklearn,0.3815718157181572,0.0039005915779542393,0.9027777777777778,0.8667017042001864,-0.041671815108258195,0.8695923035388862,-0.06756848022323006,0.789936941780937,0.19119735000760787,0.0006461815424011946,0.2456536546832475,1.0320276375818259e-05,0.6011009489250959,0.005060320616086844,0.7059156189598981,0.0005053396097590619,0.01734906315058987,1.1780921287362607e-17,0.2547074001305088,0.2784795226690587,0.26391718767539535,0.26086195175257526,1.7644691035683202,2.9832261321367643e-05
incubator-superset,0.47879649372186683,0.5192531606758279,0.3566856641823761,0.14078955811586397,-0.43847294673382337,7.44016122617708e-05,-0.33729711582368427,0.002886278585984357,nan,1.0,nan,nan,nan,nan,nan,nan,0.0,8.992110198923154e-53,nan,nan,nan,nan,1.0652649110023942,1.0
faceswap,0.4952690297980511,0.010770872926082729,0.9559072922555116,0.8956037709583289,-0.16592882650216995,0.6696323796144871,-0.27386127875258304,0.47579723851802413,-0.09002738468360955,0.1833805541764348,-0.03101539916599006,0.6472958006086781,-0.004009253798527269,0.9874030368277499,0.10279281701698903,0.68482929671098,0.0472027972027972,4.6138014919813875e-12,0.21043376859883087,0.40194903080403643,-0.02755481523212839,0.9135734722382056,4.595744680851064,2.4243361834290422e-08
django,0.9604667359623615,0.4774921604457386,0.8637671029149316,0.006922533897897325,-0.24801547540103874,0.014309353068551668,-0.5451928398217167,7.741773544864036e-09,0.01439562612332992,0.2940368856919943,-0.030887050909761536,0.024335003925028627,0.06557725035890455,0.5924072714883228,0.15754112034941192,0.19607409767513326,0.004105371193978789,1.8677163229325517e-174,0.22677330406612187,0.060958099720570064,-0.02885697600187657,0.8139185286989453,0.9108545826768277,0.22324085107824107
flask,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,8.247987846471034e-14,nan,nan,nan,nan,nan,1.0
transformers,0.7720883534136547,0.2606669636822692,1.1264720942140296,0.6613356738796629,-0.06802505024204464,0.720963916776183,0.1401322881623275,0.46016298227578223,-0.072970191039972,0.09809925991758403,-0.11170871303422084,0.011185208894146348,-0.1445513391308348,0.4459919788747172,0.04577969568208413,0.810162118076051,0.001279863481228669,6.001585105664086e-58,0.07368090268395094,0.6987966170779858,-0.01252236502233635,0.9476359064982276,0.6015596539162112,0.0006229399431029602
keras,0.7854528312350951,0.17494996065335217,1.3238422439759037,0.07269271654718379,-0.3945843517816312,8.4300509694352e-10,-0.45894158631156723,4.0321390217039484e-13,-0.034481443317258546,0.5655789874090634,-0.11379536930492631,0.0571940849338823,0.4036363597906441,0.2813352094224531,0.6210590034081187,0.07425299207352293,0.0,1.3486433972112348e-13,0.10350983390135313,0.7910051864396366,0.3388641239768297,0.3723634884352587,1.127738686371873,0.17253464839386873
